,제목,가사
0,너를 좋아하니까,<인디>넌 여기 있는데 손 닿을 수 있는 바로 내 앞에 여기에 넌 생각하겠지 내가 왜 얘기 않는지 하지만 아무 말도 할 수 없었어 오 그대 때문에 이제 내 마음 감출 순 없지만 그대 눈을 볼 때면 난 다시 말을 잃어 버리네 나의 슬픈 사랑아 얼마나 네 손을 잡고 싶었었는지 얼마나 너와 함께 걷고 싶었는지 혹시 아니 내가 왜 이렇게 얘기하는지 난 너를 좋아하니까 길을 걷다가 연인들이 내 곁을 스치면 사무치는 그리움 하지만 아직도 난 너에게 다가갈 수 없어 날 보여주기 힘들어 너와 함께 있으면 얼마나 네 손을 잡고 싶었었는지 얼마나 너와 함께 걷고 싶었는지 혹시 아니 내가 왜 이렇게 얘기하는지 난 너를 좋아하니까 닫힌 너의 마음에 가까이 다가가긴 힘들지만 내 맘 보여준다면 나를 이해할 수 있겠니 슬픈 나의 사랑아 얼마나 네 손을 잡고 싶었었는지 얼마나 너와 함께 걷고 싶었는지 혹시 아니 내가 왜 이렇게 얘기하는지 난 너를 좋아하니까 얼마나 네 손을 잡고 싶었었는지 얼마나 너와 함께 걷고 싶었는지 혹시 아니 내가 왜 이렇게 얘기하는지 난 너를 사랑하니까 
1,그대 보고 싶어요,<인디>시간이 흘렀어도 난 아직 그대로 같은 곳에서 그댈 기다리고 있죠 그대가 내 마음을 훔쳐 가지 않았다면 난 벌써 집에 가버렸겠죠 그대는 날 좋아하지 않단 걸 근데 난 여전히 그대 보고 싶어요 그대 보고 싶어요 내가 그대를 귀찮게 한단 걸 근데 난 여전히 그대 보고 싶어요 그대 보고 싶어요 오 이 빗속에 이 추운 거리에 난 계속 서 있을 거예요 만일 그대 마음이 바뀐다면 난 여전히 그대 보고 싶어요 그대 보고 싶어요 
2,와인 토킹 (Feat. Ra.l),<인디>창밖을 내다보니 비가 그치지 않아 너와 함께 맞이한 편안한 밤 촛불은 켜져 있고 잔잔한 음악을 틀고 우리 손에 나의 두려움이 갑자기 사라졌어 우리의 입술이 만날 때 이건 아마도 창밖을 내다보니 비가 그치지 않아 이런 분위기 난 좋아 넌 알잖아 촛불은 켜져 있고 우리의 음악을 틀고 내가 좋아하는 와인까지 나의 두려움이 갑자기 사라졌어 우리의 입술이 만날 때 이건 아마도 나의 두려움이 갑자기 사라졌어 우리의 입술이 만날 때 이건 아마도 나의 두려움이 갑자기 사라졌어 우리의 입술이 만날 때 이건 아마도 
3,Come On Closer,<인디> 너랑 친해지고 싶은데 넌 왜 나를 자꾸 외면해 어떻게 하길 원해 너랑 얘기하고 싶은데 제발 한번 나 좀 봐줄래 네가 여길 떠나기 전에 내게 기회를 줘 난 너에게 빠져서 그래 내게 기회를 줘 아직 넌 침묵하고 있잖아 왜 그런지 이유를 말해줘 계속 넌 날 피하고 있어 내게 기회를 줘 난 너에게 빠져서 그래 내게 기회를 줘 너랑 친해지고 싶은데 넌 왜 나를 자꾸 외면해 어떻게 하길 원해 내게 기회를 줘 난 너에게 빠져서 그래 내게 기회를 줘 내게 기회를 줘 난 너에게 빠져서 그래 내게 기회를 줘 
4,불여우,<인디>자주 못 보는 절세 미인이 날 보며 미소를 짓고 난 기절할 뻔 이미 마법에 걸렸어 나의 가슴은 두근두근 그녀는 나를 끌어당기고 있어 이제 난 노예가 되어 난 어리석었어 난 모든 걸 해도 그녀를 피할 수 없어 빨리 손을 떼야 하는데 그녀의 손끝에 독이 느껴지지만 어쩔 수 없어 이젠 정신 차리지 못해 내 본능이 날 지배하려고 해 난 어리석었어 난 모든 걸 해도 그녀를 피할 수 없어 이미 게임 끝났어 서로 눈을 맞추면 난 되돌릴 수 없어 난 어리석었어 난 모든 걸 해도 그녀를 피할 수 없어 난 어리석었어 난 모든 걸 해도 그녀를 피할 수 없어
5,I Became A Fool,<인디>그땐 정말 내가 얼마나 바보였는지 돌아보면 왜 그렇게 생각했는지 이해할 수가 없네 그녀는 내겐 언제나 다정한 친구처럼 가만히 다가와 영원히 그녀를 지켜주고 싶어 혼자 맹세하곤 했지 그건 내 착각이었어 그녀만 생각했던 건 진심으로 그녀를 지켜주고 싶었어 내 꿈도 포기할 수 있었어 그대여 난 정말 모든 걸 잊을 수 있었어 이제 알 수 있니 얼마나 내가 바본지 날 원망하진 마 그땐 정말 어려서 사랑을 위해 그건 내 착각이었어 그녀만 생각했던 건 진심으로 그녀를 지켜주고 싶었어 내 꿈도 포기할 수 있었어 그대여 난 정말 모든 걸 잊을 수 있었어 만일 내게 그런 사랑이 다시 찾아 온다면 다시 사랑이 오면 이젠 포기 않을 거야 
6,고백해도 괜찮아,<인디>5분 정도 지났어 왜 아직도 말이 없어 불편한 공기가 흐르고 있잖아 그 침묵 때문에 난 죽을 것 같아 근데 너의 표정을 보면 네가 뭘 말하고 싶은지 난 이미 알아 버렸어 이제 숨길 필요 없어 너의 비밀을 말해줘 괜찮아 고백해도 괜찮아 넌 날 좋아하는 걸 아니까 나 준비가 돼 있어 그냥 말하는게 나을 거야 너무 뻔해서 티가 나잖아 말을 더듬는 너의 얼굴이 빨개지는걸 이제 그냥 얘기해도 돼 괜찮아 고백해도 괜찮아 넌 날 좋아하는 걸 아니까 나 준비가 돼 있어 괜찮아 고백해도 괜찮아 빨리 용기 좀 내봐 나 준비가 돼 있어 어서 얘기해 지금이 아니면 안돼 내가 얼마나 널 기다렸는데 괜찮아 고백해도 괜찮아 넌 날 좋아하는 걸 아니까 나 준비가 돼 있어 괜찮아 고백해도 괜찮아 나도 너를 좋아하니까 나 준비가 돼 있어 그대
7,너를 좋아하니까 (Acoustic Ver.) (Bonus Track),<인디>넌 여기 있는데 손 닿을 수 있는 바로 내 앞에 여기에 넌 생각하겠지 내가 왜 얘기 않는지 하지만 아무 말도 할 수 없었어 오 그대 때문에 이제 내 마음 감출 순 없지만 그대 눈을 볼 때면 난 다시 말을 잃어 버리네 나의 슬픈 사랑아 얼마나 네 손을 잡고 싶었었는지 얼마나 너와 함께 걷고 싶었는지 혹시 아니 내가 왜 이렇게 얘기하는지 난 너를 좋아하니까 길을 걷다가 연인들이 내 곁을 스치면 사무친 그리움 하지만 아직도 난 너에게 다가갈 수 없어 날 보여주기 힘들어 너와 함께 있으면 얼마나 네 손을 잡고 싶었었는지 얼마나 너와 함께 걷고 싶었는지 혹시 아니 내가 왜 이렇게 얘기하는지 난 너를 좋아하니까 닫힌 너의 마음에 가까이 다가가긴 힘들지만 내 맘을 네게 보여준다면 나를 이해할 수 있겠니 슬픈 나의 사랑아 얼마나 네 손을 잡고 싶었었는지 얼마나 너와 함께 걷고 싶었는지 혹시 아니 내가 왜 이렇게 얘기하는지 난 너를 좋아하니까 얼마나 네 손을 잡고 싶었었는지 얼마나 너와 함께 걷고 싶었는지 혹시 아니 내가 왜 이렇게 얘기하는지 난 너를 사랑하니까
9,Bangkok (Stay Home),<인디>제발 날 그냥 내버려둬 아무것도 안 하고 싶어 내가 있는 곳이 편해서 침대위에 앉아서 만 볼거야 또 몰아보기로 보려고 내가 제일 좋아한 티비쇼 입을 심심하지 않게 난 마음껏 감자칩을 계속 먹을꺼야 방콕 방콕 꿈인가 생시인가 방콕 방콕 나의 뜻대로 된 순간이 바로 이거야 난 이제 올빼미로 변했어 밤새도록 게임을 하면서 내 세상을 방해하지마 난 침대위에 앉아 계속 게임 할거야 방콕 방콕 꿈인가 생시인가 방콕 방콕 나의 뜻대로 된 순간이 바로 이거야 그래 난 한심하다는 거 알아 하지만 난 천국처럼 느껴져 그래 내 생각이 짧아 보여도 내가 행복하다면 결코 이곳을 떠나고 싶지 않아 방콕 방콕 꿈인가 생시인가 방콕 방콕 나의 뜻대로 된 순간이 바로 이거야
12,The One,<인디> 너의 웃는 얼굴을 바라보면 난 너무 행복해져 너의 눈을 볼 때면 차가운 눈빛 보며 나의 마음이 아프지만 왜 날 자꾸 힘들게 하니 왜 이렇게 숨기려 하니 알고 있는데 너의 맘 너도 원하잖니 내가 오직 너의 사랑이잖아 날 속이려 하지마 우리의 이야기잖아 시간이 지나도 변함없는 너 너의 마음을 결코 열지 않아 내가 손을 잡으면 수줍은 너의 모습 근데 왜 넌 날 바라보지 않니 왜 날 자꾸 힘들게 하니 왜 이렇게 숨기려 하니 알고 있는데 너의 맘 너도 원하잖니 내가 오직 너의 사랑이잖아 날 속이려 하지마 우리의 이야기잖아 오늘도 역시 우리는 눈을 마주치지만 고개를 돌리고 말았네 내가 느끼는 감정을 너도 느끼는 것 같은데 길 위에 많은 커플들처럼 나도 너와 손잡고 걷고 싶은데 오늘도 나 혼자 상상만 하네 날 속이려 하지마 우리의 이야기잖아 장난하지마 난 지금 힘들어 날 이해 못하겠니 넌 나를 좋아하고 있잖아 난 알아 
